"hub","site","species","sex","bandNumber","bandCombo","encounterType","date","yearDate","bandYear"
"DC","RAUNERIMD1","SOSP","M","1141-05580","A/Y,BK","band",2001-05-24,2001,2001
"DC","RAUNERIMD1","SOSP","M","1141-05580","A/Y,BK","resight-technician",2004-07-08,2004,2001
"DC","RAUNERIMD1","NOMO","M","1152-87437","A,BU/G","band",2002-07-01,2002,2002
"DC","RAUNERIMD1","HOWR","F","2250-90466","W,W/A","band",2002-07-01,2002,2002
"DC","RAUNERIMD1","CACH","U","2250-90467","A,Y/R","band",2002-07-01,2002,2002
"DC","RAUNERIMD1","NOCA","F","8001-21479","W,A/R","band",2002-07-01,2002,2002
"DC","RAUNERIMD1","NOCA","F","8001-21479","W,A/R","resight-participant",2005-04-30,2005,2002
"DC","RAUNERIMD1","HOWR","M","2250-90399","P,A/W","band",2003-05-27,2003,2003
"DC","RAUNERIMD1","AMRO","M","1152-87458","A,O/G","band",2003-06-13,2003,2003
"DC","RAUNERIMD1","AMRO","M","1152-87458","A,O/G","resight-participant",2005-03-26,2004,2003
"DC","RAUNERIMD1","AMRO","M","1152-87458","A,O/G","resight-participant",2006-03-12,2005,2003
"DC","RAUNERIMD1","AMRO","M","1152-87458","A,O/G","resight-participant",2007-03-22,2006,2003
"DC","RAUNERIMD1","AMRO","M","1152-87458","A,O/G","resight-participant",2008-03-14,2007,2003
"DC","RAUNERIMD1","AMRO","M","1152-87458","A,O/G","resight-participant",2009-04-02,2009,2003
"DC","RAUNERIMD1","AMRO","F","1152-87459","A/W,Y","band",2003-06-13,2003,2003
"DC","RAUNERIMD1","AMRO","F","1152-87459","A/W,Y","resight-participant",2004-04-03,2004,2003
"DC","RAUNERIMD1","AMRO","F","1152-87459","A/W,Y","resight-participant",2005-04-18,2005,2003
"DC","RAUNERIMD1","AMRO","F","1152-87459","A/W,Y","resight-participant",2006-04-10,2006,2003
"DC","RAUNERIMD1","AMRO","F","1152-87459","A/W,Y","resight-participant",2007-03-14,2006,2003
"DC","RAUNERIMD1","AMRO","F","1152-87459","A/W,Y","recap",2007-07-06,2007,2003
"DC","RAUNERIMD1","HOWR","F","1821-63318","Y/R,A","band",2003-06-16,2003,2003
"DC","RAUNERIMD1","HOWR","F","1821-66319","P,R/A","band",2003-06-16,2003,2003
"DC","RAUNERIMD1","HOWR","M","1821-63317","BK,A/G","band",2003-06-16,2003,2003
"DC","RAUNERIMD1","HOWR","M","1821-63317","BK,A/G","resight-technician",2004-04-18,2004,2003
"DC","RAUNERIMD1","HOWR","M","1821-63317","BK,A/G","resight-participant",2005-05-01,2005,2003
"DC","RAUNERIMD1","HOWR","M","1821-66320","BU/A,O","band",2003-06-16,2003,2003
"DC","RAUNERIMD1","HOWR","M","1821-66320","BU/A,O","resight-technician",2004-07-08,2004,2003
"DC","RAUNERIMD1","AMRO","F","962-47900","R/R,A","band",2004-06-16,2004,2004
"DC","RAUNERIMD1","HOWR","F","2370-05998","BU/A,R","band",2004-06-20,2004,2004
"DC","RAUNERIMD1","HOWR","M","2370-05999","O,A/BK","band",2004-06-20,2004,2004
"DC","RAUNERIMD1","AMRO","M","962-47940","R/AP","band",2004-07-10,2004,2004
"DC","RAUNERIMD1","HOWR","U","2370-05618","A,G/Y","band",2004-07-14,2004,2004
"DC","RAUNERIMD1","NOCA","M","1951-20960","A/W,O","band",2004-07-20,2004,2004
"DC","RAUNERIMD1","NOCA","M","1951-20960","A/W,O","resight-participant",2005-04-30,2005,2004
"DC","RAUNERIMD1","NOCA","M","1951-20960","A/W,O","resight-participant",2006-04-15,2006,2004
"DC","RAUNERIMD1","NOCA","M","1951-20960","A/W,O","resight-participant",2007-03-14,2006,2004
"DC","RAUNERIMD1","NOCA","M","1951-20960","A/W,O","recap",2007-07-06,2007,2004
"DC","RAUNERIMD1","NOCA","M","1951-20960","A/W,O","resight-participant",2008-04-06,2008,2004
"DC","RAUNERIMD1","NOCA","M","1951-20960","A/W,O","resight-participant",2009-03-14,2008,2004
"DC","RAUNERIMD1","NOCA","M","1951-20960","A/W,O","resight-technician",2009-05-11,2009,2004
"DC","RAUNERIMD1","GRCA","M","1951-41110","Y,A/R","band",2005-06-13,2005,2005
"DC","RAUNERIMD1","CARW","F","4501-87452","A/O,R","band",2006-07-04,2006,2006
"DC","RAUNERIMD1","HOWR","F","2460-22801","A/G,G","band",2006-07-04,2006,2006
"DC","RAUNERIMD1","CARW","M","4501-87451","A/W,Y","band",2006-07-04,2006,2006
"DC","RAUNERIMD1","HOWR","M","2460-22841","A,R/BK","band",2007-07-06,2007,2007
"DC","RAUNERIMD1","HOWR","F","2460-22842","A,O/O","band",2007-07-06,2007,2007
"DC","RAUNERIMD1","GRCA","F","1991-46149","BK/A,BU","band",2007-07-06,2007,2007
"DC","RAUNERIMD1","GRCA","U","1991-46151","G,A/P","band",2007-07-06,2007,2007
"DC","RAUNERIMD1","NOCA","F","1991-46150","Y,A/BU","band",2007-07-06,2007,2007
"DC","RAUNERIMD1","NOCA","F","1991-46150","Y,A/BU","resight-participant",2008-04-06,2008,2007
"DC","RAUNERIMD1","NOCA","F","1991-46150","Y,A/BU","resight-participant",2009-02-22,2008,2007
"DC","RAUNERIMD1","NOCA","F","1991-46150","Y,A/BU","resight-technician",2009-07-22,2009,2007
"DC","RAUNERIMD1","NOCA","F","1991-46150","Y,A/BU","resight-participant",2010-01-15,2009,2007
"DC","RAUNERIMD1","NOCA","F","1991-46150","Y,A/BU","resight-participant",2010-03-20,2009,2007
"DC","RAUNERIMD1","AMRO","U","1272-43102","O,BK/A","band",2008-06-09,2008,2008
"DC","RAUNERIMD1","GRCA","M","2301-56042","PK/BK,A","band",2008-06-09,2008,2008
"DC","RAUNERIMD1","HOWR","F","2540-62905","R/O,A","band",2008-06-09,2008,2008
"DC","RAUNERIMD1","GRCA","F","2301-56043","A,PK/BK","band",2008-06-09,2008,2008
"DC","RAUNERIMD1","AMRO","F","1272-43103","R,W/A","band",2008-06-09,2008,2008
"DC","RAUNERIMD1","HOWR","M","2540-62904","BU/W,A","band",2008-06-09,2008,2008
"DC","RAUNERIMD1","HOWR","M","2540-62904","BU/W,A","resight-participant",2009-04-18,2009,2008
"DC","RAUNERIMD1","HOWR","M","2540-62904","BU/W,A","recap",2009-05-11,2009,2008
"DC","RAUNERIMD1","AMRO","M","1202-99064","A/P,PK","band",2009-05-11,2009,2009
"DC","RAUNERIMD1","AMRO","F","1202-99065","G,A/PK","band",2009-05-11,2009,2009
"DC","RAUNERIMD1","CACH","F","2540-62891","W/W,A","band",2009-05-11,2009,2009
"DC","RAUNERIMD1","HOWR","M","2540-62890","A/W,BK","band",2009-05-11,2009,2009
"DC","RAUNERIMD1","CACH","M","2540-62889","P,G/A","band",2009-05-11,2009,2009
"DC","RAUNERIMD1","CARW","F","2441-15009","G/A,P","band",2009-05-11,2009,2009
"DC","RAUNERIMD1","CARW","F","2441-15009","G/A,P","resight-participant",2010-04-18,2010,2009
"DC","RAUNERIMD1","CARW","F","2441-15009","G/A,P","resight-participant",2011-02-26,2010,2009
"DC","RAUNERIMD1","GRCA","M","2421-11563","A/R,O","band",2010-07-26,2010,2010
"DC","RAUNERIMD1","HOWR","M","2460-22978","BK/P,A","band",2010-07-26,2010,2010
"DC","RAUNERIMD1","HOWR","M","2460-22978","BK/P,A","resight-participant",2011-04-25,2011,2010
"DC","RAUNERIMD1","SOSP","M","2251-80388","BU/A,PK","band",2010-07-26,2010,2010
"DC","RAUNERIMD1","SOSP","M","2251-80388","BU/A,PK","resight-participant",2012-05-20,2012,2010
"DC","RAUNERIMD1","CARW","M","2251-80389","A,BK/G","band",2010-07-26,2010,2010
"DC","RAUNERIMD2","CACH","F","2660-75716","R,A/BU","band",2013-05-22,2013,2013
"DC","RAUNERIMD2","CACH","M","2660-75722","W,G/A","band",2013-05-26,2013,2013
"DC","RAUNERIMD2","CARW","U","2661-31530","A/BU,P","band",2013-07-29,2013,2013
"DC","RAUNERIMD2","CARW","U","2661-31531","A/G,BK","band",2013-07-29,2013,2013
"DC","RAUNERIMD2","GRCA","M","2531-74573","O/BU,A","band",2013-07-29,2013,2013
"DC","RAUNERIMD2","HOWR","U","2660-75757","G,W/A","band",2013-07-29,2013,2013
"DC","RAUNERIMD2","SOSP","M","2661-31532","A/O,BK","band",2013-07-29,2013,2013
"DC","RAUNERIMD2","NOCA","M","2531-74574","Y,A/G","band",2013-07-29,2013,2013
"DC","RAUNERIMD2","NOCA","M","2531-74574","Y,A/G","resight-technician",2014-06-16,2014,2013
"DC","RAUNERIMD2","NOCA","M","2531-74574","Y,A/G","resight-participant",2015-03-15,2014,2013
"DC","RAUNERIMD2","NOCA","F","2531-74575","PK/A,PK","band",2013-07-29,2013,2013
"DC","RAUNERIMD2","NOCA","F","2531-74575","PK/A,PK","resight-technician",2014-06-16,2014,2013
"DC","RAUNERIMD2","CACH","M","2730-24703","W/A,Y","band",2014-05-03,2014,2014
"DC","RAUNERIMD2","CACH","F","2710-25983","Y,P/A","band",2014-05-08,2014,2014
"DC","RAUNERIMD2","SOSP","M","2571-90055","W/W,A","band",2014-06-16,2014,2014
"DC","RAUNERIMD2","SOSP","F","2571-90056","R,A/R","band",2014-06-16,2014,2014
"DC","RAUNERIMD2","CARW","M","2571-90057","A/Y,BU","band",2014-06-16,2014,2014
"DC","RAUNERIMD2","CARW","M","2571-90058","O,O/A","band",2014-06-16,2014,2014
"DC","RAUNERIMD2","CACH","M","2690-95981","A,BU/BK","band",2015-04-28,2015,2015
"DC","RAUNERIMD2","NOCA","M","2651-47517","W/PK,A","band",2015-06-15,2015,2015
"DC","RAUNERIMD2","NOCA","F","2651-47518","PK,A/Y","band",2015-06-15,2015,2015
"DC","RAUNERIMD2","CARW","U","2661-31564","A,BK/Y","band",2015-06-15,2015,2015
"DC","RAUNERIMD2","NOCA","M","2651-47519","A,P/O","band",2015-06-15,2015,2015
"DC","RAYTIMMD1","HOWR","M","1920-85909","A,G/BU","band",2000-06-07,2000,2000
"DC","RAYTIMMD1","HOWR","F","1920-85910","O,A/BU","band",2000-06-07,2000,2000
"DC","RAYTIMMD1","HOWR","M","2250-24054","A/W,BU","band",2001-06-12,2001,2001
"DC","RAYTIMMD1","GRCA","M","1751-51922","A,R/BK","band",2001-06-12,2001,2001
"DC","RAYTIMMD1","HOWR","F","2250-24055","Y/A,P","band",2001-06-12,2001,2001
"DC","RAYTIMMD1","GRCA","M","1751-51923","Y,A/BK","band",2001-06-12,2001,2001
"DC","RAYTIMMD1","GRCA","M","1751-51923","Y,A/BK","recap",2002-05-30,2002,2001
"DC","RAYTIMMD1","GRCA","M","1751-51923","Y,A/BK","resight-technician",2003-05-28,2003,2001
"DC","RAYTIMMD1","GRCA","M","1751-51923","Y,A/BK","resight-participant",2004-03-15,2003,2001
"DC","RAYTIMMD1","CARW","M","1141-05599","A/R,Y","band",2001-06-12,2001,2001
"DC","RAYTIMMD1","CARW","M","1141-05599","A/R,Y","resight-technician",2002-05-30,2002,2001
"DC","RAYTIMMD1","CARW","F","1141-05598","BU,A/P","band",2001-06-12,2001,2001
"DC","RAYTIMMD1","CARW","F","1141-05598","BU,A/P","resight-technician",2002-05-30,2002,2001
"DC","RAYTIMMD1","HOWR","M","2250-90438","A/G,O","band",2002-05-30,2002,2002
"DC","RAYTIMMD1","HOWR","F","2250-90439","A,P/R","band",2002-05-30,2002,2002
"DC","RAYTIMMD1","GRCA","F","8001-21454","O,A/G","band",2002-05-30,2002,2002
"DC","RAYTIMMD1","HOWR","F","2250-24982","BU/BK,A","band",2003-05-28,2003,2003
"DC","RAYTIMMD1","HOWR","M","2250-24983","P,P/A","band",2003-05-28,2003,2003
"DC","RAYTIMMD1","GRCA","M","1841-58866","G,BK/A","band",2004-06-17,2004,2004
"DC","RAYTIMMD1","NOCA","F","1841-58865","A,O/W","band",2004-06-17,2004,2004
"DC","RAYTIMMD1","HOWR","M","2460-22929","BU/P,A","band",2007-07-10,2007,2007
"DC","RAYTIMMD1","CARW","F","2281-69119","BK,A/O","band",2007-07-10,2007,2007
"DC","RAYTIMMD1","NOCA","M","2301-56024","A,P/Y","band",2007-07-10,2007,2007
"DC","RAYTIMMD1","CACH","U","2460-22930","W/A,O","band",2007-07-10,2007,2007
"DC","RAYTIMMD1","CACH","U","2460-22930","W/A,O","resight-technician",2009-06-27,2009,2007
"DC","RCPAMAZDC1","NOCA","M","1991-46109","A,Y/O","band",2007-04-30,2007,2007
"DC","RCPAMAZDC1","NOCA","F","1991-46105","A,R/BU","band",2007-04-30,2007,2007
"DC","RCPAMAZDC1","CARW","F","2281-69211","A/BK,BK","band",2007-07-03,2007,2007
"DC","RCPAMAZDC1","GRCA","M","2301-56912","BU/PK,A","band",2007-07-03,2007,2007
"DC","RCPAMAZDC1","GRCA","F","2301-56913","PK/PK,A","band",2007-07-03,2007,2007
"DC","RCPAMAZDC1","GRCA","M","2301-56915","PK/R,A","band",2007-07-03,2007,2007
"DC","RCPAMAZDC1","NOCA","M","2301-56916","W/P,A","band",2007-07-03,2007,2007
"DC","RCPAMAZDC1","AMRO","U","1232-88702","P/A,BU","band",2007-07-03,2007,2007
"DC","RCPAMAZDC1","CARW","F","2281-69212","A,BK/BK","band",2007-07-03,2007,2007
"DC","RCPAMAZDC1","GRCA","M","2301-56918","PK/R,A","band",2007-07-03,2007,2007
"DC","RCPAMAZDC1","CACH","U","2510-04219","A/O,BU","band",2007-07-03,2007,2007
"DC","RCPAMAZDC1","CACH","F","2510-04221","A,O/O","band",2007-07-03,2007,2007
"DC","RCPAMAZDC1","NOCA","F","2301-56917","W/BK,A","band",2007-07-03,2007,2007
"DC","RCPAMAZDC1","GRCA","U","2301-56920","PK,A/O","band",2007-07-03,2007,2007
"DC","RCPAMAZDC1","AMRO","U","1232-88703","BK,BU/A","band",2007-07-03,2007,2007
"DC","RCPAMAZDC1","CARW","F","2281-69213","BU,A/BU","band",2007-07-03,2007,2007
"DC","RCPAMAZDC1","CARW","U","2281-69210","A/G,P","resight-technician",2007-02-15,2006,2007
"DC","RCPAMAZDC1","CARW","U","2281-69210","A/G,P","band",2007-07-03,2007,2007
"DC","RCPAMAZDC1","NOCA","M","2301-56919","Y,O/A","band",2007-07-03,2007,2007
"DC","RCPAMAZDC1","NOCA","M","2301-56919","Y,O/A","recap",2008-07-23,2008,2007
"DC","RCPAMAZDC1","NOCA","F","2301-56921","R/BU,A","band",2007-07-03,2007,2007
"DC","RCPAMAZDC1","NOCA","F","2301-56921","R/BU,A","recap",2013-05-23,2013,2007
"DC","RCPAMAZDC1","GRCA","M","2301-56914","PK/A,W","band",2007-07-06,2007,2007
"DC","RCPAMAZDC1","CARW","F","2281-69215","O/G,A","band",2007-07-10,2007,2007
"DC","RCPAMAZDC1","GRCA","F","2301-56923","PK,R/A","band",2007-07-10,2007,2007
"DC","RCPAMAZDC1","AMRO","U","1232-88704","W/W,A","band",2007-07-10,2007,2007
"DC","RCPAMAZDC1","AMRO","U","1232-88705","BU/A,G","band",2007-07-10,2007,2007
"DC","RCPAMAZDC1","NOCA","M","2301-56924","O,A/G","band",2007-07-10,2007,2007
"DC","RCPAMAZDC1","NOCA","M","2301-56924","O,A/G","resight-technician",2009-01-15,2008,2007
"DC","RCPAMAZDC1","NOCA","M","2301-56924","O,A/G","resight-technician",2010-12-16,2010,2007
"DC","RCPAMAZDC1","GRCA","U","2301-55961","Y,G/A","band",2008-06-25,2008,2008
"DC","RCPAMAZDC1","AMRO","M","1202-99048","O/A,BK","band",2008-06-25,2008,2008
"DC","RCPAMAZDC1","CACH","U","2460-22756","A,G/Y","band",2008-06-25,2008,2008
"DC","RCPAMAZDC1","CARW","M","2251-80908","R/AP","band",2008-06-25,2008,2008
"DC","RCPAMAZDC1","CACH","U","2460-22757","PK/A,Y","band",2008-06-25,2008,2008
"DC","RCPAMAZDC1","CARW","M","2341-30311","P/O,A","band",2008-06-25,2008,2008
"DC","RCPAMAZDC1","CARW","F","2341-30312","R,BK/A","band",2008-06-25,2008,2008
"DC","RCPAMAZDC1","GRCA","F","2301-55962","A,O/G","band",2008-06-25,2008,2008
"DC","RCPAMAZDC1","SOSP","M","2341-30028","PK/PK,A","band",2008-07-23,2008,2008
"DC","RCPAMAZDC1","GRCA","U","2301-56093","W/PK,A","band",2008-07-23,2008,2008
"DC","RCPAMAZDC1","AMRO","M","1202-99052","A,Y/Y","band",2009-04-30,2009,2009
"DC","RCPAMAZDC1","GRCA","U","2301-56528","A,PK/PK","band",2009-04-30,2009,2009
"DC","RCPAMAZDC1","GRCA","U","2301-56526","A,P/P","band",2009-04-30,2009,2009
"DC","RCPAMAZDC1","GRCA","M","2411-37401","W,PK/A","band",2009-06-17,2009,2009
"DC","RCPAMAZDC1","NOCA","U","2411-37408","A,R/Y","band",2009-06-24,2009,2009
"DC","RCPAMAZDC1","AMRO","U","1292-64403","A,BU/PK","band",2009-06-24,2009,2009
"DC","RCPAMAZDC1","GRCA","U","2411-37409","PK,A/BK","band",2009-06-24,2009,2009
"DC","RCPBIRDDC1","AMRO","M","1352-46588","G,PK/A","band",2015-05-09,2015,2015
"DC","RCPBIRDDC1","GRCA","U","2641-96877","R/AY","band",2015-05-09,2015,2015
"DC","RCPBIRDDC1","AMRO","M","1352-46587","PK/A,W","band",2015-05-09,2015,2015
"DC","RCPBIRDDC1","AMRO","U","1352-46586","P/PK,A","band",2015-05-09,2015,2015
"DC","RCPBIRDDC1","GRCA","U","2641-96876","-,R/A","band",2015-05-09,2015,2015
"DC","RCPBIRDDC1","GRCA","U","2641-96875","Y,P/A","band",2015-05-09,2015,2015
"DC","RCPBIRDDC1","GRCA","U","2641-96874","P,R/A","band",2015-05-09,2015,2015
"DC","RCPBIRDDC1","GRCA","U","2641-96873","A/BU,BU","band",2015-05-09,2015,2015
"DC","RCPBIRDDC1","GRCA","U","2641-96872","A,O/O","band",2015-05-09,2015,2015
"DC","RCPBIRDDC1","HOWR","M","2710-58384","A/Y,R","band",2015-05-09,2015,2015
"DC","RCPCG1DC1","SOSP","M","4501-87503","A,W/P","band",2003-05-22,2003,2003
"DC","RCPCG1DC1","NOCA","M","1801-77718","BU/A,BK","band",2003-05-22,2003,2003
"DC","RCPCG1DC1","GRCA","M","1801-77719","O,BK/A","band",2003-05-22,2003,2003
"DC","RCPCG1DC1","GRCA","M","1801-77730","BK,W/A","band",2003-05-30,2003,2003
"DC","RCPCG1DC1","GRCA","F","1801-77731","G/R,A","band",2003-05-30,2003,2003
"DC","RCPCG1DC1","NOCA","F","1801-77732","P,A/P","band",2003-05-30,2003,2003
"DC","RCPCG1DC1","NOCA","M","1801-77733","P,G/A","band",2003-05-30,2003,2003
"DC","RCPCG1DC1","HOWR","F","1950-50454","BU/A,O","band",2003-05-30,2003,2003
"DC","RCPCG1DC1","NOCA","F","1801-77734","BU/A,R","band",2003-05-30,2003,2003
"DC","RCPCG1DC1","GRCA","F","1801-77735","Y/A,Y","band",2003-05-30,2003,2003
"DC","RCPCG1DC1","GRCA","M","1801-77736","P/A,R","band",2003-05-30,2003,2003
"DC","RCPCG1DC1","NOCA","M","1801-77745","A,W/O","band",2003-06-14,2003,2003
"DC","RCPDP1DC1","SOSP","M","4501-87507","Y,R/A","band",2003-07-04,2003,2003
"DC","RCPDP1DC1","GRCA","U","1801-77748","A,Y/BU","band",2003-07-04,2003,2003
"DC","RCPDP1DC1","GRCA","M","1801-77749","R,A/BK","band",2003-07-04,2003,2003
"DC","RCPDP1DC1","GRCA","M","1801-77750","P,A/O","band",2003-07-04,2003,2003
"DC","RCPDP1DC1","SOSP","U","4501-87508","BK,A/W","band",2003-07-04,2003,2003
"DC","RCPDP1DC1","GRCA","U","1841-58701","A/O,R","band",2003-07-04,2003,2003
"DC","RCPDP1DC1","GRCA","U","1841-58702","W,G/A","band",2003-07-04,2003,2003
"DC","RCPDP1DC1","GRCA","M","1841-58703","G/A,G","band",2003-07-04,2003,2003
"DC","RCPDP1DC1","GRCA","M","1841-58709","BK/A,R","band",2003-07-15,2003,2003
"DC","RCPDP1DC1","GRCA","M","1841-58710","O/A,P","band",2003-07-15,2003,2003
"DC","RCP_EDZDC1","SOSP","M","2441-96427","P,A/O","band",2010-07-01,2010,2010
"DC","RCP_EDZDC1","AMRO","M","1272-43125","PK,PK/A","band",2010-07-01,2010,2010
"DC","RCP_EDZDC1","GRCA","F","2411-37977","G,A/BK","band",2010-07-01,2010,2010
"DC","RCP_EDZDC1","AMRO","M","1272-43127","PK/A,P","band",2010-07-01,2010,2010
"DC","RCP_EDZDC1","AMRO","F","1272-43126","PK,A/Y","band",2010-07-01,2010,2010
"DC","RCP_EDZDC1","AMRO","F","1272-43126","PK,A/Y","resight-technician",2012-03-15,2011,2010
"DC","RCP_EDZDC1","SOSP","M","2571-89980","A,P/PK","band",2015-07-01,2015,2015
"DC","RCP_EDZDC1","AMRO","F","1352-46575","A/PK,BK","band",2015-07-01,2015,2015
"DC","RCPHC1DC1","GRCA","M","1801-77701","A/G,BK","band",2003-05-07,2003,2003
"DC","RCPHC1DC1","GRCA","M","1801-77740","W/A,R","band",2003-06-02,2003,2003
"DC","RCPHC1DC1","NOCA","M","1801-77741","A/P,W","band",2003-06-10,2003,2003
"DC","RCPHC1DC1","CACH","M","1950-50456","Y/A,BU","band",2003-06-10,2003,2003
"DC","RCPHC1DC1","CACH","F","1950-50457","A/O,O","band",2003-06-10,2003,2003
"DC","RCPHC1DC1","NOCA","F","1801-77742","BU,A/P","band",2003-06-10,2003,2003
"DC","RCPHC2DC1","NOCA","F","1801-77720","O,A/W","band",2003-05-23,2003,2003
"DC","RCPKM1DC1","NOCA","F","1801-77706","A,R/R","band",2003-05-19,2003,2003
"DC","RCPKM1DC1","NOCA","M","1801-77707","A/BK,BU","band",2003-05-20,2003,2003
"DC","RCPKM1DC1","GRCA","M","1801-77708","P/BK,A","band",2003-05-20,2003,2003
"DC","RCPKM1DC1","GRCA","M","1801-77709","O,O/A","band",2003-05-20,2003,2003
"DC","RCPKM1DC1","NOCA","M","1801-77710","P,R/A","band",2003-05-20,2003,2003
"DC","RCPKM1DC1","GRCA","M","1801-77711","G/A,W","band",2003-05-20,2003,2003
"DC","RCPKM1DC1","GRCA","M","1801-77712","Y,A/BU","band",2003-05-20,2003,2003
"DC","RCPKM1DC1","GRCA","F","1801-77713","R,W/A","band",2003-05-20,2003,2003
"DC","RCPKM1DC1","GRCA","F","1801-77714","BU,P/A","band",2003-05-20,2003,2003
"DC","RCPKM1DC1","HOWR","M","1950-50451","O/G,A","band",2003-05-20,2003,2003
"DC","RCPKM1DC1","GRCA","M","1801-77715","G,Y/A","band",2003-05-20,2003,2003
"DC","RCPNC1DC1","NOCA","M","1801-77721","W,A/G","band",2003-05-27,2003,2003
"DC","RCPNC1DC1","GRCA","M","1801-77722","A,G/BK","band",2003-05-27,2003,2003
"DC","RCPNC1DC1","NOCA","F","1801-77723","R,BK/A","band",2003-05-27,2003,2003
"DC","RCPNC1DC1","NOCA","M","1801-77724","P,O/A","band",2003-05-27,2003,2003
"DC","RCPNC1DC1","CACH","M","1950-50453","A,O/G","band",2003-05-27,2003,2003
"DC","RCPNC1DC1","NOCA","F","1801-77725","A/O,W","band",2003-05-27,2003,2003
"DC","RCPPH1DC1","CACH","U","1950-50458","A/O,Y","band",2003-06-12,2003,2003
"DC","RCPPH1DC1","NOCA","M","1801-77744","O,BU/A","band",2003-06-12,2003,2003
"DC","RCPPH1DC1","CARW","M","4501-87505","A,BU/W","band",2003-06-12,2003,2003
"DC","RCPPH2DC1","NOCA","M","8001-21397","O/A,BU","band",2003-05-13,2003,2003
"DC","RCPPH2DC1","NOCA","F","8001-21398","A/G,O","band",2003-05-13,2003,2003
"DC","RCPPH3DC1","CACH","U","1950-50455","A/W,Y","band",2003-06-03,2003,2003
"DC","RCPPH3DC1","CACH","U","1950-50459","O/P,A","band",2003-06-24,2003,2003
"DC","RCPPH3DC1","NOCA","F","1801-77746","O/A,P","band",2003-06-26,2003,2003
"DC","RCPPH3DC1","NOCA","M","1801-77747","P,A/W","band",2003-06-26,2003,2003
"DC","RCPPH3DC1","NOCA","M","1841-58704","BK,A/Y","band",2003-07-07,2003,2003
"DC","RCPPH3DC1","NOCA","F","1841-58705","BK/A,Y","band",2003-07-07,2003,2003
"DC","RCPPM1DC1","SOSP","M","4501-87502","A,R/G","band",2003-05-06,2003,2003
"DC","RCPPM1DC1","GRCA","M","1801-77738","A/P,BU","band",2003-05-06,2003,2003
"DC","RCPPM1DC1","GRCA","F","1801-77761","O/A,R","band",2003-05-06,2003,2003
"DC","RCPPM1DC1","GRCA","M","8001-21399","O/A,BK","band",2003-05-19,2003,2003
"DC","RCPPM1DC1","GRCA","F","8001-21400","A/BK,W","band",2003-05-19,2003,2003
"DC","RCPPM1DC1","GRCA","F","1801-77702","P/G,A","band",2003-05-19,2003,2003
"DC","RCPPM1DC1","GRCA","M","1801-77737","W/A,Y","band",2003-05-31,2003,2003
"DC","RCPPM1DC1","NOCA","F","1801-77743","A,BU/BU","band",2003-06-11,2003,2003
"DC","RCPPM1DC1","GRCA","M","1801-77760","W/A,BK","band",2003-06-25,2003,2003
"DC","RCPPM2DC1","NOCA","M","1801-77703","G,A/BK","band",2003-05-19,2003,2003
"DC","RCPPM2DC1","GRCA","M","1801-77704","A,BU/BU","band",2003-05-19,2003,2003
"DC","RCPPM2DC1","NOCA","M","1801-77705","W,R/A","band",2003-05-19,2003,2003
"DC","RCPPM2DC1","GRCA","F","1801-77739","A,O/R","band",2003-06-02,2003,2003
"DC","RCPPM2DC1","SOSP","M","4501-87511","Y,A/BK","band",2003-07-18,2003,2003
"DC","RCPRR1DC1","NOCA","M","1801-77726","G/A,P","band",2003-05-28,2003,2003
"DC","RCPRR1DC1","NOCA","F","1801-77728","R,P/A","band",2003-05-28,2003,2003
"DC","RCPRS1DC1","NOCA","F","1801-77716","A/Y,O","band",2003-05-22,2003,2003
"DC","RCPRS1DC1","NOCA","M","1801-77717","Y/P,BK","band",2003-05-22,2003,2003
"DC","RCPRS1DC1","CACH","M","1950-50452","A/P,R","band",2003-05-22,2003,2003
"DC","RCP_SMBDC1","SOSP","M","1141-05566","A,W/BK","band",2001-05-11,2001,2001
"DC","RCP_SMBDC1","CARW","M","1141-05567","BU/A,W","band",2001-05-11,2001,2001
"DC","RCP_SMBDC1","HOWR","M","2250-24025","A/G,BU","band",2001-05-11,2001,2001
"DC","RCP_SMBDC1","NOCA","M","1751-51959","A/G,G","band",2001-05-11,2001,2001
"DC","RCP_SMBDC1","NOCA","M","1751-51959","A/G,G","resight-technician",2002-07-02,2002,2001
"DC","RCP_SMBDC1","GRCA","M","1751-51958","BU,BU/A","band",2001-05-11,2001,2001
"DC","RCP_SMBDC1","GRCA","M","1751-51958","BU,BU/A","resight-technician",2002-07-02,2002,2001
"DC","RCP_SMBDC1","GRCA","M","1751-51958","BU,BU/A","resight-technician",2003-07-14,2003,2001
"DC","RCP_SMBDC1","GRCA","M","1751-51958","BU,BU/A","resight-technician",2004-04-19,2004,2001
"DC","RCP_SMBDC1","SOSP","M","1141-05569","O/A,R","band",2001-05-11,2001,2001
"DC","RCP_SMBDC1","SOSP","M","1141-05569","O/A,R","resight-technician",2002-04-11,2002,2001
"DC","RCP_SMBDC1","SOSP","M","1141-05569","O/A,R","resight-technician",2003-11-23,2003,2001
"DC","RCP_SMBDC1","SOSP","M","1141-05569","O/A,R","resight-technician",2004-04-19,2004,2001
"DC","RCP_SMBDC1","SOSP","M","1141-05569","O/A,R","resight-technician",2005-02-04,2004,2001
"DC","RCP_SMBDC1","GRCA","M","1751-51956","A/O,BK","band",2001-05-11,2001,2001
"DC","RCP_SMBDC1","GRCA","M","1751-51956","A/O,BK","resight-technician",2002-06-14,2002,2001
